Date	Open	Close
2009-04-24	101.169998	100.080002
2009-04-27	99.610001	99.949997
2009-04-28	99.360001	101.940002
2009-04-29	101.980003	104.040001
2009-04-30	104.550003	103.209999
2009-05-01	103.779999	104.610001
2009-05-04	105.260002	106.190002
2009-05-05	106	105.849998
2009-05-06	105.230003	104.620003
2009-05-07	104.650002	102.589996
2009-05-08	103.580002	101.489998
2009-05-11	101.089996	102.900002
2009-05-12	102.980003	103.940002
2009-05-13	102.879997	102.260002
2009-05-14	101.720001	101.050003
2009-05-15	100.900002	101.370003
2009-05-18	102	104.580002
2009-05-19	104.330002	105.510002
2009-05-20	105.510002	104.050003
2009-05-21	103.07	102.82
2009-05-22	102.669998	101.889999
2009-05-26	101.32	105.019997
2009-05-27	104.339996	102.93
2009-05-28	103.339996	104.690002
2009-05-29	104.470001	106.279999
2009-06-01	106.940002	108.370003
2009-06-02	107.510002	106.830002
2009-06-03	106.529999	106.489998
2009-06-04	106.169998	106.330002
2009-06-05	107.330002	107.239998
2009-06-08	106.639999	107.489998
2009-06-09	108.150002	108.139999
2009-06-10	109.199997	108.349998
2009-06-11	108.75	109.400002
2009-06-12	108.400002	108.209999
2009-06-15	107.629997	107.620003
2009-06-16	108.470001	107.32
2009-06-17	107.459999	107
2009-06-18	106.93	106.330002
2009-06-19	106.309998	105.889999
2009-06-22	105.18	104.519997
2009-06-23	104.75	104.440002
2009-06-24	105.389999	104.150002
2009-06-25	103.699997	106.059998
2009-06-26	106.5	105.68
2009-06-29	105.989998	105.830002
2009-06-30	105.690002	104.419998
2009-07-01	105	104.839996
2009-07-02	103.800003	101.730003
2009-07-06	101.57	101.650002
2009-07-07	101.339996	100.190002
2009-07-08	100.290001	100.68
2009-07-09	101.120003	102.080002
2009-07-10	100.970001	100.830002
2009-07-13	101.279999	103.620003
2009-07-14	103.419998	103.25
2009-07-15	104.75	107.220001
2009-07-16	106.839996	110.639999
2009-07-17	113.410004	115.419998
2009-07-20	114.529999	116.440002
2009-07-21	115.870003	117.040001
2009-07-22	116.18	115.57
2009-07-23	115.059998	117.059998
2009-07-24	116.68	117.639999
2009-07-27	116.949997	117.629997
2009-07-28	116.629997	117.279999
2009-07-29	116.360001	117.260002
2009-07-30	118	117.860001
2009-07-31	117.559998	117.93
2009-08-03	118.879997	119.919998
2009-08-04	119.169998	119.599998
2009-08-05	118.519997	118.470001
2009-08-06	118.309998	117.379997
2009-08-07	118.110001	119.330002
2009-08-10	118.169998	118.699997
